file,error,candidate_1_latin,candidate_1_common,candidate_1_score,candidate_1_curriculum_id,candidate_2_latin,candidate_2_common,candidate_2_score,candidate_2_curriculum_id,candidate_3_latin,candidate_3_common,candidate_3_score,candidate_3_curriculum_id
2026-08-09_08-14-36_297.jpg,,Liquidambar styraciflua,Sweetgum,0.912,liq-sty,Liquidambar orientalis,Storax,0.044,,Acer × freemanii,Freeman Maple,0.005,
2026-08-09_08-14-43_746.jpg,,Liquidambar styraciflua,Sweetgum,0.572,liq-sty,Liquidambar orientalis,Storax,0.083,,Liquidambar formosana,Formosan gum,0.044,
2026-08-09_08-14-50_120.jpg,,Liquidambar styraciflua,Sweetgum,0.960,liq-sty,Liquidambar formosana,Formosan gum,0.006,,Acer truncatum,Shantung maple,0.005,
2026-08-09_08-14-59_910.jpg,,Prunus × yedoensis,Yoshino cherry,0.310,pru-cis,Prunus cerasus,Sour cherry,0.162,,Prunus avium,Wild cherry,0.141,
2026-08-09_08-15-06_011.jpg,,Prunus × yedoensis,Yoshino cherry,0.488,pru-cis,Prunus serrulata,Japanese flowering cherry,0.100,pru-ser,Prunus × subhirtella,Winter flowering cherry,0.073,pru-cis
2026-08-09_08-15-16_801.jpg,,Prunus × yedoensis,Yoshino cherry,0.678,pru-cis,Prunus cerasus,Sour cherry,0.085,,Prunus avium,Wild cherry,0.012,
2026-08-09_08-15-32_434.jpg,,Chamaecyparis pisifera,Sawara cypress,0.369,,Juniperus sabina,Savin,0.071,,Juniperus × pfitzeriana,Pfitzer juniper,0.058,
2026-08-09_08-15-37_713.jpg,,Euonymus alatus,Burning bush,0.441,euo-ala,Aesculus parviflora,Bottlebrush buckeye,0.182,aes-par,Lindera benzoin,Northern spicebush,0.019,
2026-08-09_08-16-18_237.jpg,,Pinus strobus,Eastern white pine,0.517,pin-str,Pinus wallichiana,Blue Pine,0.078,,Pinus pinea,Italian stone pine,0.035,
2026-08-09_08-16-23_686.jpg,,Pinus strobus,Eastern white pine,0.662,pin-str,Pinus wallichiana,Blue Pine,0.040,,Pinus armandi,Armand Pine,0.015,
2026-08-09_08-16-29_597.jpg,,Cedrus atlantica,Atlas cedar,0.198,,Pinus strobus,Eastern white pine,0.178,pin-str,Cedrus deodara,Deodar,0.129,
2026-08-09_08-17-27_883.jpg,,Prunus × yedoensis,Yoshino cherry,0.411,pru-cis,Prunus serrulata,Japanese flowering cherry,0.070,pru-ser,Magnolia kobus,Kobus magnolia,0.042,
2026-08-09_08-17-41_003.jpg,,Prunus × yedoensis,Yoshino cherry,0.885,pru-cis,Prunus serrulata,Japanese flowering cherry,0.020,pru-ser,Prunus sargentii,Sargent's cherry,0.009,
2026-08-09_08-17-45_206.jpg,,Prunus × yedoensis,Yoshino cherry,0.122,pru-cis,Prunus × subhirtella,Winter flowering cherry,0.081,pru-cis,Zelkova serrata,Japanese zelkova,0.060,zel-ser
2026-08-09_08-18-49_592.jpg,,Berberis julianae,Chinese Barberry,0.930,,Berberis gagnepainii,Gagnepain's Barberry,0.027,,Berberis darwinii,Darwin's barberry,0.002,
2026-08-09_08-19-42_249.jpg,,Acer platanoides,Norway maple,0.118,ace-pla,Acer pseudoplatanus,Sycamore maple,0.060,,Acer campestre,Field maple,0.053,
2026-08-09_08-19-49_433.jpg,,Acer rubrum,Red maple,0.631,ace-rub,Acer × freemanii,Freeman Maple,0.138,,Acer tataricum,Tatarian maple,0.040,
2026-08-09_08-19-55_736.jpg,,Quercus palustris,Pin Oak,0.174,que-pal,Quercus velutina,Black oak,0.085,,Pyrus calleryana,Bradford pear,0.065,pyr-cal
2026-08-09_08-20-59_325.jpg,,Pinus strobus,Eastern white pine,0.222,pin-str,Pinus pinaster,Maritime pine,0.144,,Taxodium distichum,Bald cypress,0.047,tax-dis
2026-08-09_08-21-08_129.jpg,,Pinus strobus,Eastern white pine,0.192,pin-str,Pinus strobiformis,Southwestern white pine,0.169,,Pinus wallichiana,Blue Pine,0.096,
2026-08-09_08-21-13_535.jpg,,Pinus strobus,Eastern white pine,0.147,pin-str,Pinus wallichiana,Blue Pine,0.130,,Cedrus deodara,Deodar,0.109,
2026-08-09_08-21-32_177.jpg,,Malus baccata,Siberian Crab Apple,0.097,,Prunus virginiana,Chokecherry,0.094,,Prunus padus,Bird cherry,0.041,
2026-08-09_08-21-39_815.jpg,,Malus prunifolia,Plumleaf crab apple,0.295,,Malus baccata,Siberian Crab Apple,0.203,,Malus sylvestris,Crab apple,0.130,
2026-08-09_08-21-44_520.jpg,,Pyrus spinosa,Almond leaved Pear,0.047,,Sarcomphalus mistol,,0.040,,Quercus engelmannii,Engelmann oak,0.034,
2026-08-09_08-25-16_632.jpg,,Lagerstroemia indica,Crapemyrtle,0.762,lag-ind,Lagerstroemia speciosa,Queen's crape myrtle,0.129,,Syringa vulgaris,Common lilac,0.017,syr-vul
2026-08-09_08-25-23_841.jpg,,Lagerstroemia speciosa,Queen's crape myrtle,0.630,,Lagerstroemia indica,Crapemyrtle,0.256,lag-ind,Margaritaria discoidea,Bushveld peacock berry,0.003,
2026-08-09_08-25-27_221.jpg,,Lagerstroemia indica,Crapemyrtle,0.704,lag-ind,Lagerstroemia speciosa,Queen's crape myrtle,0.121,,Stewartia pseudocamellia,Japanese stewartia,0.034,ste-pse
2026-08-09_08-25-42_785.jpg,,Viburnum recognitum,Southern Arrowwood,0.634,,Viburnum dentatum,Arrow wood viburnum,0.284,vib-den,Corylus avellana,Common hazel,0.016,
2026-08-09_08-26-30_119.jpg,,Pinus parviflora,Japanese white pine,0.725,,Pinus sylvestris,Scots pine,0.045,,Abies concolor,Colorado white fir,0.041,abi-con
2026-08-09_08-26-33_436.jpg,,Pinus parviflora,Japanese white pine,0.660,,Abies concolor,Colorado white fir,0.056,abi-con,Pinus sylvestris,Scots pine,0.048,
2026-08-09_08-26-37_920.jpg,,Pinus parviflora,Japanese white pine,0.954,,Pinus cembra,Arolla pine,0.007,,Pinus sylvestris,Scots pine,0.005,
2026-08-09_08-26-41_832.jpg,,Pinus parviflora,Japanese white pine,0.896,,Pinus cembra,Arolla pine,0.030,,Pinus mugo,Dwarf mountain pine,0.012,pin-mug
2026-08-09_08-27-02_916.jpg,,Viburnum carlesii,Koreanspice viburnum,0.519,vib-car,Hibiscus sabdariffa,Roselle,0.053,,Hydrangea arborescens,Smooth hydrangea,0.038,
2026-08-09_08-27-36_283.jpg,,Salix × pendulina,Pendulous willow,0.360,,Salix babylonica,Weeping willow,0.282,sal-bab,Salix humboldtiana,Humboldt's Willow,0.125,
2026-08-09_08-27-45_624.jpg,,Salix × pendulina,Pendulous willow,0.492,,Salix babylonica,Weeping willow,0.212,sal-bab,Salix alba,White willow,0.069,
2026-08-09_08-27-52_724.jpg,,Salix babylonica,Weeping willow,0.322,sal-bab,Salix × pendulina,Pendulous willow,0.303,,Melaleuca viminalis,Red bottlebrush,0.031,
2026-08-09_08-28-03_907.jpg,,Berberis thunbergii,Japanese barberry,0.555,ber-thu,Physocarpus opulifolius,Nine Bark,0.040,phy-opu,Cotoneaster acutifolius,Peking cotoneaster,0.027,
